Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,SMA_20,EMA_20,RSI_14,Bollinger_Upper,Bollinger_Lower,Return,Lag1_Return,Volatility_10,MACD,MACD_signal
2012-02-14,ADANIPORTS,EQ,143.05,143.3,145.55,142.0,143.8,144.15,143.2,1580236,22628881385000.0,9737.0,1243143,0.7867000000000001,144.95,143.55786382646534,44.93996569468267,154.5090133822537,135.39098661774628,0.007689619014330518,0.0010496850944716751,0.03029507431094704,0.11297953194363686,0.6247597730376667
2012-02-15,ADANIPORTS,EQ,144.15,145.0,147.95,144.15,146.6,147.15,145.97,886834,12945271965000.0,11877.0,276880,0.3122,145.3075,143.89997203346863,53.62718089990818,154.61862944700843,135.99637055299158,0.020811654526534884,0.007689619014330518,0.030505043867198767,0.3961050417365186,0.5790288267774371
2012-02-16,ADANIPORTS,EQ,147.15,147.45,149.9,145.75,147.25,147.6,147.81,856476,12659654410000.0,10284.0,276539,0.3229,145.60250000000002,144.25235564932876,50.490196078431374,154.80561589111338,136.39938410888666,0.003058103975535076,0.020811654526534884,0.025780661454171017,0.6493104406712291,0.5930851495561955
2012-02-17,ADANIPORTS,EQ,147.6,149.0,152.9,145.75,151.5,150.5,150.36,1749511,26305587770000.0,22821.0,660950,0.3778,145.6575,144.84736939701176,63.38495575221237,154.96868597228766,136.34631402771234,0.019647696476964738,0.003058103975535076,0.02662402690246711,1.0716302211395146,0.6887941638728594
2012-02-21,ADANIPORTS,EQ,150.5,151.2,155.75,150.65,152.35,152.65,153.44,1744030,26759529580000.0,19690.0,693099,0.3974,145.52,145.59047707348685,58.10126582278482,154.29096885964387,136.74903114035615,0.014285714285714235,0.019647696476964738,0.026392354021410488,1.5618052033167942,0.8633963717616464
2012-02-22,ADANIPORTS,EQ,152.65,155.75,157.75,142.4,143.5,143.85,151.21,1863666,28180769820000.0,26638.0,628868,0.3374,145.375,145.42471735220238,49.94559303590859,154.1562299821836,136.5937700178164,-0.05764821487061911,0.014285714285714235,0.025649017118563815,1.2260527796287022,0.9359276533350577
2012-02-23,ADANIPORTS,EQ,143.85,142.0,145.4,140.5,144.95,144.05,143.69,1533912,22040961465000.0,11593.0,886359,0.5778,145.075,145.29379189008787,41.10115236875803,153.58966227657976,136.56033772342022,0.0013903371567607348,-0.05764821487061911,0.025603058547458635,0.9649811909314394,0.941738360854334
2012-02-24,ADANIPORTS,EQ,144.05,145.05,146.5,141.0,142.25,142.7,142.67,527338,7523669970000.0,7730.0,244104,0.4629,145.05,145.0467640910319,40.47919293820934,153.59073828930005,136.50926171069997,-0.009371745921555208,0.0013903371567607348,0.025073381813364083,0.6417486790924727,0.8817404245019618
2012-02-27,ADANIPORTS,EQ,142.7,144.4,145.15,137.25,142.7,143.65,141.87,947560,13442886230000.002,13999.0,433571,0.4576,144.8775,144.91373893950507,44.21326397919379,153.3831931398607,136.3718068601393,0.006657323055361042,-0.009371745921555208,0.022470947140182652,0.4569739341577872,0.7967871264331269
2012-02-28,ADANIPORTS,EQ,143.65,144.8,149.45,144.1,148.65,148.1,146.92,629276,9245187830000.0,8877.0,244844,0.3891,145.3625,145.21719237383792,63.181148748158996,153.4067117143486,137.31828828565142,0.030978071702053578,0.006657323055361042,0.024422546122313267,0.6619854709279593,0.7698267953320934
2012-02-29,ADANIPORTS,EQ,148.1,149.75,152.0,145.25,147.3,148.65,148.8,627017,9329989365000.0,9602.0,240577,0.3837,145.48250000000002,145.5441264334724,62.51874062968511,153.6530681693825,137.31193183061754,0.003713706954760365,0.030978071702053578,0.024383613846338737,0.858937695224455,0.7876489753105658
2012-03-01,ADANIPORTS,EQ,148.65,148.0,152.0,144.0,145.5,146.85,146.38,370864,5428525095000.0,5672.0,121763,0.3283,145.63,145.6684953445703,63.567073170731675,153.7867795502624,137.4732204497376,-0.012108980827447047,0.003713706954760365,0.023983532816054608,0.8598667861095066,0.802092537470354
2012-03-02,ADANIPORTS,EQ,146.85,147.5,150.0,144.0,146.3,147.35,146.3,497666,7280622175000.0,9330.0,169822,0.3412,145.4475,145.8286386450874,57.84832451499114,153.25420932764348,137.6407906723565,0.003404834865509132,-0.012108980827447047,0.02398859856062104,0.8906816945110734,0.819810368878498
2012-03-03,ADANIPORTS,EQ,147.35,147.6,147.75,145.4,145.6,146.15,146.45,22092,323535845000.0,417.0,9831,0.445,145.2425,145.85924448841243,55.272108843537396,152.72688901630377,137.75811098369624,-0.008143875127248013,0.003404834865509132,0.023063686559082815,0.8089477145463491,0.8176378380120682
2012-03-05,ADANIPORTS,EQ,146.15,147.0,147.05,142.4,142.9,143.2,144.31,264293,3814103440000.0,3683.0,115981,0.4388,144.9975,145.60598310856363,48.479999999999976,152.40847869806396,137.58652130193605,-0.020184741703729192,-0.008143875127248013,0.022820231670336588,0.5003647078555105,0.7541832119807568
2012-03-06,ADANIPORTS,EQ,143.2,144.65,147.0,140.65,144.9,143.55,144.0,502716,7238873709999.999,7452.0,277511,0.552,145.2175,145.41017519346235,43.706293706293735,152.14291277508158,138.29208722491842,0.0024441340782124232,-0.020184741703729192,0.013925622646631268,0.28081546092843723,0.6595096617702929
2012-03-07,ADANIPORTS,EQ,143.55,141.05,146.65,141.05,145.45,145.25,143.83,389292,5599101400000.0,6600.0,148706,0.382,145.465,145.3949204131326,46.063651591289805,151.99284319987123,138.93715680012878,0.011842563566701436,0.0024441340782124232,0.014434708806712169,0.24121630210035505,0.5758509898363053
